Classifier_Type,CV_ID,Fold,Accuracy,F1_Score,AUC,Precision,Recall,logloss
Stacking-RF-PT-Platt,10,5,0.942408376963351,0.936416184971098,0.99117387466902,0.952941176470588,0.920454545454545,0.234541838266354
Stacking-RF-PT-Platt,11,1,0.964467005076142,0.94488188976378,0.990053203793662,0.983606557377049,0.909090909090909,0.233139751011428
Stacking-RF-PT-Platt,11,2,0.969230769230769,0.965909090909091,0.992816091954023,0.955056179775281,0.977011494252874,0.157178310494113
Stacking-RF-PT-Platt,11,3,0.960869565217391,0.957746478873239,0.992506086427267,0.953271028037383,0.962264150943396,0.15562345931383
Stacking-RF-PT-Platt,11,4,0.916299559471366,0.9272030651341,0.964670896114195,0.923664122137405,0.930769230769231,0.526307843849111
Stacking-RF-PT-Platt,11,5,0.985915492957747,0.987234042553192,0.995511908993957,0.974789915966387,1,0.0564130978900036
Stacking-RF-PT-Platt,12,1,0.972222222222222,0.969162995594714,0.996027205695398,0.973451327433628,0.964912280701754,0.124043426406826
Stacking-RF-PT-Platt,12,2,0.950248756218906,0.947368421052632,0.989026812313803,0.947368421052632,0.947368421052632,0.205959135553892
Stacking-RF-PT-Platt,12,3,0.94300518134715,0.952380952380952,0.986911281489595,0.909090909090909,1,0.221677083359924
Stacking-RF-PT-Platt,12,4,0.973684210526316,0.967032967032967,0.990369245524297,0.977777777777778,0.956521739130435,0.176963867562384
Stacking-RF-PT-Platt,12,5,0.930851063829787,0.928176795580111,0.976516523313717,0.96551724137931,0.893617021276596,0.471392036035595
Stacking-RF-PT-Platt,13,1,0.984615384615385,0.986666666666667,0.995495495495495,0.973684210526316,1,0.0569615373653174
Stacking-RF-PT-Platt,13,2,0.947368421052632,0.947867298578199,0.99047619047619,0.934579439252336,0.961538461538462,0.223718344805783
Stacking-RF-PT-Platt,13,3,0.98974358974359,0.9875,0.998090353557399,0.975308641975309,1,0.0469601270809514
Stacking-RF-PT-Platt,13,4,0.966346153846154,0.958083832335329,0.984206989247312,0.963855421686747,0.952380952380952,0.220568576697582
Stacking-RF-PT-Platt,13,5,0.901960784313726,0.894514767932489,0.967611958661417,0.963636363636364,0.834645669291339,0.82132011128398
Stacking-RF-PT-Platt,14,1,0.975409836065574,0.97196261682243,0.993293845315904,0.981132075471698,0.962962962962963,0.130233919983177
Stacking-RF-PT-Platt,14,2,0.989637305699482,0.988372093023256,0.996949891067538,0.977011494252874,1,0.0547233351768998
Stacking-RF-PT-Platt,14,3,0.964444444444444,0.966101694915254,0.992367921543815,0.95,0.982758620689655,0.155500488377197
